,confirmed,deaths,Holt,Holt-Winters,SARIMA,LSTM,Holt-Winters-14d
2020-01-01,0.0,0.0,,,,,
2020-01-02,0.0,0.0,,,,,
2020-01-03,0.0,0.0,,,,,
2020-01-04,0.0,0.0,,,,,
2020-01-05,0.0,0.0,,,,,
2020-01-06,0.0,0.0,,,,,
2020-01-07,0.0,0.0,,,,,
2020-01-08,0.0,0.0,,,,,
2020-01-09,0.0,0.0,,,,,
2020-01-10,0.0,0.0,,,,,
2020-01-11,0.0,0.0,,,,,
2020-01-12,0.0,0.0,,,,,
2020-01-13,0.0,0.0,,,,,
2020-01-14,0.0,0.0,,,,,
2020-01-15,0.0,0.0,,,,,
2020-01-16,0.0,0.0,,,,,
2020-01-17,0.0,0.0,,,,,
2020-01-18,0.0,0.0,,,,,
2020-01-19,0.0,0.0,,,,,
2020-01-20,0.0,0.0,,,,,
2020-01-21,1.0,0.0,,,,,
2020-01-22,0.0,0.0,,,,,
2020-01-23,0.0,0.0,,,,,
2020-01-24,0.0,0.0,,,,,
2020-01-25,1.0,0.0,,,,,
2020-01-26,0.0,0.0,,,,,
2020-01-27,3.0,0.0,,,,,
2020-01-28,0.0,0.0,,,,,
2020-01-29,0.0,0.0,,,,,
2020-01-30,0.0,0.0,,,,,
2020-01-31,1.0,0.0,,,,,
2020-02-01,1.0,0.0,,,,,
2020-02-02,1.0,0.0,,,,,
2020-02-03,3.0,0.0,,,,,
2020-02-04,0.0,0.0,,,,,
2020-02-05,0.0,0.0,,,,,
2020-02-06,1.0,0.0,,,,,
2020-02-07,0.0,0.0,,,,,
2020-02-08,0.0,0.0,,,,,
2020-02-09,0.0,0.0,,,,,
2020-02-10,0.0,0.0,,,,,
2020-02-11,1.0,0.0,,,,,
2020-02-12,0.0,0.0,,,,,
2020-02-13,1.0,0.0,,,,,
2020-02-14,1.0,0.0,,,,,
2020-02-15,0.0,0.0,,,,,
2020-02-16,0.0,0.0,,,,,
2020-02-17,0.0,0.0,,,,,
2020-02-18,0.0,0.0,,,,,
2020-02-19,0.0,0.0,,,,,
2020-02-20,0.0,0.0,,,,,
2020-02-21,1.0,0.0,,,,,
2020-02-22,19.0,0.0,,,,,
2020-02-23,0.0,0.0,,,,,
2020-02-24,0.0,0.0,,,,,
2020-02-25,18.0,0.0,,,,,
2020-02-26,0.0,0.0,,,,,
2020-02-27,6.0,0.0,,,,,
2020-02-28,1.0,0.0,,,,,
2020-02-29,6.0,0.0,,,,,
2020-03-01,3.0,1.0,,,,,
2020-03-02,20.0,1.0,,,,,
2020-03-03,14.0,4.0,,,,,
2020-03-04,22.0,3.0,,,,,
2020-03-05,34.0,2.0,,,,,
2020-03-06,74.0,1.0,,,,,
2020-03-07,105.0,2.0,,,,,
2020-03-08,95.0,3.0,,,,,
2020-03-09,121.0,4.0,,,,,
2020-03-10,200.0,5.0,,,,,
2020-03-11,271.0,2.0,,,,,
2020-03-12,287.0,2.0,,,,,
2020-03-13,351.0,10.0,,,,,
2020-03-14,511.0,7.0,,,,,
2020-03-15,777.0,10.0,,,,,
2020-03-16,823.0,12.0,,,,,
2020-03-17,887.0,16.0,,,,,
2020-03-18,1766.0,23.0,,,,,
2020-03-19,2988.0,41.0,,,,,
2020-03-20,4835.0,1.0,,,,,
2020-03-21,5374.0,110.0,,,,,
2020-03-22,7123.0,80.0,,,,,
2020-03-23,8459.0,131.0,,,,,
2020-03-24,11236.0,119.0,,,,,
2020-03-25,8789.0,211.0,,,,,
2020-03-26,13963.0,249.0,,,,,
2020-03-27,16797.0,246.0,,,,,
2020-03-28,18695.0,411.0,,,,,
2020-03-29,19979.0,484.0,,,,,
2020-03-30,18360.0,318.0,,,,,
2020-03-31,21595.0,661.0,,,,,
2020-04-01,24998.0,909.0,,,,,
2020-04-02,27103.0,1059.0,,,,,
2020-04-03,28819.0,915.0,,,,,
2020-04-04,32425.0,1104.0,,,,,
2020-04-05,34272.0,1344.0,,,,,
2020-04-06,25398.0,1146.0,,,,,
2020-04-07,30561.0,1342.0,,,,,
2020-04-08,30613.0,1906.0,,,,,
2020-04-09,33323.0,1922.0,,,,,
2020-04-10,33901.0,1873.0,,,,,
2020-04-11,35527.0,2087.0,,,,,
2020-04-12,28391.0,1831.0,,,,,
2020-04-13,27620.0,1500.0,,,,,
2020-04-14,25023.0,1541.0,,,,,
2020-04-15,26922.0,2408.0,,,,,
2020-04-16,30148.0,4928.0,,,,,
2020-04-17,31667.0,2299.0,,,,,
2020-04-18,30833.0,3770.0,,,,,
2020-04-19,32922.0,1856.0,,,,,
2020-04-20,24601.0,1772.0,,,,,
2020-04-21,28065.0,1857.0,,,,,
2020-04-22,37289.0,2524.0,,,,,
2020-04-23,17588.0,1721.0,,,,,
2020-04-24,26543.0,3179.0,,,,,
2020-04-25,21352.0,1054.0,,,,,
2020-04-26,48529.0,2172.0,,,,,
2020-04-27,26857.0,1687.0,,,,,
2020-04-28,22541.0,1369.0,,,,,
2020-04-29,24132.0,2110.0,,,,,
2020-04-30,27326.0,2611.0,,,,,
2020-05-01,29917.0,2040.0,,,,,
2020-05-02,33955.0,2062.0,,,,,
2020-05-03,29288.0,1317.0,,,,,
2020-05-04,24972.0,1297.0,,,,,
2020-05-05,22593.0,1252.0,,,,,
2020-05-06,23841.0,2144.0,,,,,
2020-05-07,24128.0,2353.0,,,,,
2020-05-08,28369.0,2239.0,,,,,
2020-05-09,26957.0,1510.0,,,,,
2020-05-10,25612.0,1614.0,,,,,
2020-05-11,20258.0,734.0,,,,,
2020-05-12,18117.0,1156.0,,,,,
2020-05-13,22048.0,1703.0,,,,,
2020-05-14,20782.0,1746.0,,,,,
2020-05-15,27143.0,1773.0,,,,,
2020-05-16,25508.0,1662.0,,,,,
2020-05-17,24487.0,1186.0,,,,,
2020-05-18,18873.0,808.0,,,,,
2020-05-19,21841.0,791.0,,,,,
2020-05-20,19970.0,1568.0,,,,,
2020-05-21,23285.0,1518.0,,,,,
2020-05-22,25434.0,1263.0,,,,,
2020-05-23,24147.0,1305.0,,,,,
2020-05-24,21236.0,1080.0,,,,,
2020-05-25,20568.0,633.0,,,,,
2020-05-26,19064.0,500.0,,,,,
2020-05-27,18910.0,696.0,,,,,
2020-05-28,18721.0,1526.0,,,,,
2020-05-29,21817.0,1175.0,,,,,
2020-05-30,25337.0,1219.0,,,,,
2020-05-31,23297.0,945.0,,,,,
2020-06-01,19807.0,602.0,,,,,
2020-06-02,21086.0,764.0,,,,,
2020-06-03,20544.0,1034.0,,,,,
2020-06-04,19699.0,994.0,,,,,
2020-06-05,21140.0,1036.0,,,,,
2020-06-06,25178.0,932.0,,,,,
2020-06-07,22223.0,659.0,,,,,
2020-06-08,22302.0,712.0,,,,,
2020-06-09,18822.0,493.0,,,,,
2020-06-10,18665.0,999.0,,,,,
2020-06-11,20614.0,918.0,,,,,
2020-06-12,22883.0,896.0,,,,,
2020-06-13,25639.0,849.0,,,,,
2020-06-14,25540.0,767.0,,,,,
2020-06-15,19543.0,296.0,,,,,
2020-06-16,19957.0,395.0,,,,,
2020-06-17,23705.0,836.0,,,,,
2020-06-18,25559.0,754.0,,,,,
2020-06-19,27762.0,717.0,,,,,
2020-06-20,29909.0,678.0,,,,,
2020-06-21,34158.0,607.0,,,,,
2020-06-22,25793.0,256.0,,,,,
2020-06-23,31390.0,427.0,,,,,
2020-06-24,34720.0,826.0,,,,,
2020-06-25,34339.0,751.0,,,,,
2020-06-26,40949.0,2437.0,,,,,
2020-06-27,45527.0,623.0,,,,,
2020-06-28,42486.0,500.0,,,,,
2020-06-29,38673.0,265.0,,,,,
2020-06-30,41556.0,336.0,,,,,
2020-07-01,43880.0,1270.0,,,,,
2020-07-02,52048.0,652.0,,,,,
2020-07-03,53399.0,678.0,,,,,
2020-07-04,54442.0,694.0,,,,,
2020-07-05,45221.0,242.0,,,,,
2020-07-06,49093.0,271.0,,,,,
2020-07-07,49990.0,359.0,,,,,
2020-07-08,57473.0,1174.0,,,,,
2020-07-09,58906.0,829.0,,,,,
2020-07-10,63004.0,982.0,,,,,
2020-07-11,66625.0,806.0,,,,,
2020-07-12,63051.0,717.0,,,,,
2020-07-13,57258.0,391.0,,,,,
2020-07-14,58114.0,400.0,,,,,
2020-07-15,68518.0,861.0,,,,,
2020-07-16,67717.0,953.0,,,,,
2020-07-17,76930.0,939.0,,,,,
2020-07-18,71494.0,908.0,,,,,
2020-07-19,63749.0,853.0,,,,,
2020-07-20,61796.0,415.0,,,,,
2020-07-21,56750.0,372.0,,,,,
2020-07-22,72048.0,1160.0,,,,,
2020-07-23,68848.0,1124.0,,,,,
2020-07-24,63196.0,1052.0,,,,,
2020-07-25,78427.0,1304.0,,,,,
2020-07-26,65498.0,914.0,,,,,
2020-07-27,55993.0,475.0,,,,,
2020-07-28,56243.0,1076.0,,,,,
2020-07-29,61734.0,1245.0,,,,,
2020-07-30,74985.0,1457.0,,,,,
2020-07-31,68032.0,1357.0,,,,,
2020-08-01,67023.0,1244.0,,,,,
2020-08-02,58407.0,1133.0,,,,,
2020-08-03,47511.0,413.0,,,,,
2020-08-04,45607.0,543.0,,,,,
2020-08-05,57525.0,1403.0,,,,,
2020-08-06,52804.0,1450.0,,,,,
2020-08-07,59755.0,1848.0,,,,,
2020-08-08,58150.0,1252.0,,,,,
2020-08-09,56221.0,1069.0,,,,,
2020-08-10,46847.0,513.0,,,,,
2020-08-11,49530.0,523.0,,,,,
2020-08-12,46813.0,1076.0,,,,,
2020-08-13,55941.0,1490.0,,,,,
2020-08-14,51094.0,1083.0,1086.4500916326458,1514.5284364548274,1294.657073526534,1391.4421138763428,
2020-08-15,64838.0,1336.0,1079.9676198466805,1228.3601200497437,1277.1561266066913,1306.6037368774414,
2020-08-16,48085.0,1035.0,1073.5238267269322,984.7816532808343,1073.3958474528204,1077.007700920105,
2020-08-17,42104.0,571.0,1067.1184814911826,475.1736365624495,700.7813665766132,812.5601062774658,
2020-08-18,35056.0,445.0,1060.751354734211,624.7959762675573,816.8325140841562,657.0916681289673,
2020-08-19,44091.0,1324.0,1054.4222184195776,1329.115720217233,1297.9274158723756,973.4899711608886,
2020-08-20,47426.0,1356.0,1048.1308458714577,1371.9064016347575,1371.0385711552055,1417.097080230713,
2020-08-21,44005.0,1078.0,1041.877011766523,1546.7993297638861,1451.4737095960804,1507.4078254699707,
2020-08-22,49880.0,1151.0,1035.6604921258713,1254.4540388776713,1270.4976186487984,1389.9339485168457,
2020-08-23,44378.0,956.0,1029.4810643070045,1005.6379689181465,1125.6602004622487,1258.9958515167236,
2020-08-24,34506.0,444.0,1023.3385069958565,485.20680255405335,739.356717303242,1086.1163940429688,
2020-08-25,38298.0,473.0,1017.2326001988644,637.9487047234124,834.0051826346332,913.383141517639,
2020-08-26,38119.0,1207.0,1011.1631252350913,1357.0113597410464,1279.5509806681696,968.8812475204467,
2020-08-27,42848.0,1228.0,1005.1298647283941,1400.6140628319033,1410.1367877716596,1454.1099166870117,
2020-08-28,45909.0,1110.0,999.1326025996372,1579.0702230729453,1431.8337805101235,1667.8085327148438,
2020-08-29,49654.0,949.0,993.1711240589549,1280.5479577055994,1298.0772198368313,1631.8610610961914,
2020-08-30,44143.0,1006.0,987.2452155980586,1026.4942845554588,1155.7757033399316,1544.5234680175781,
2020-08-31,35581.0,290.0,981.3546649825889,495.23996854565723,808.1443604880415,1381.4592018127441,
2020-09-01,33850.0,529.0,975.4992612445164,651.1014331792678,897.8050516126609,1168.466643333435,
2020-09-02,44639.0,1091.0,969.6787946745842,1384.9069992648597,1308.2876809927834,1046.887351989746,
2020-09-03,38754.0,1055.0,963.8930568147985,1429.321724029049,1416.1921386129754,1562.0652713775635,
2020-09-04,,,,,,,1042.1660906310906
2020-09-05,,,,,,,972.6616054107177
2020-09-06,,,,,,,839.3749928826629
2020-09-07,,,,,,,353.2618792511186
2020-09-08,,,,,,,453.63563755129024
2020-09-09,,,,,,,1024.6306227243062
2020-09-10,,,,,,,1065.105524862305
2020-09-11,,,,,,,991.0320865660588
2020-09-12,,,,,,,924.6009757307027
2020-09-13,,,,,,,797.6054069653306
2020-09-14,,,,,,,335.55674080191335
2020-09-15,,,,,,,430.7359060485294
2020-09-16,,,,,,,972.531091536707
2020-09-17,,,,,,,1010.5516885553154
