,confirmed,deaths,week,Holt,Holt-Winters,SARIMA,LSTM
2020-01-01,0,0,1,,,,
2020-01-02,0,0,1,,,,
2020-01-03,0,0,1,,,,
2020-01-04,0,0,1,,,,
2020-01-05,0,0,1,,,,
2020-01-06,0,0,2,,,,
2020-01-07,0,0,2,,,,
2020-01-08,0,0,2,,,,
2020-01-09,0,0,2,,,,
2020-01-10,0,0,2,,,,
2020-01-11,0,0,2,,,,
2020-01-12,0,0,2,,,,
2020-01-13,0,0,3,,,,
2020-01-14,0,0,3,,,,
2020-01-15,0,0,3,,,,
2020-01-16,0,0,3,,,,
2020-01-17,0,0,3,,,,
2020-01-18,0,0,3,,,,
2020-01-19,0,0,3,,,,
2020-01-20,0,0,4,,,,
2020-01-21,1,0,4,,,,
2020-01-22,0,0,4,,,,
2020-01-23,0,0,4,,,,
2020-01-24,0,0,4,,,,
2020-01-25,1,0,4,,,,
2020-01-26,0,0,4,,,,
2020-01-27,3,0,5,,,,
2020-01-28,0,0,5,,,,
2020-01-29,0,0,5,,,,
2020-01-30,0,0,5,,,,
2020-01-31,1,0,5,,,,
2020-02-01,1,0,5,,,,
2020-02-02,1,0,5,,,,
2020-02-03,3,0,6,,,,
2020-02-04,0,0,6,,,,
2020-02-05,0,0,6,,,,
2020-02-06,1,0,6,,,,
2020-02-07,0,0,6,,,,
2020-02-08,0,0,6,,,,
2020-02-09,0,0,6,,,,
2020-02-10,0,0,7,,,,
2020-02-11,1,0,7,,,,
2020-02-12,0,0,7,,,,
2020-02-13,1,0,7,,,,
2020-02-14,1,0,7,,,,
2020-02-15,0,0,7,,,,
2020-02-16,0,0,7,,,,
2020-02-17,0,0,8,,,,
2020-02-18,0,0,8,,,,
2020-02-19,0,0,8,,,,
2020-02-20,0,0,8,,,,
2020-02-21,1,0,8,,,,
2020-02-22,19,0,8,,,,
2020-02-23,0,0,8,,,,
2020-02-24,0,0,9,,,,
2020-02-25,18,0,9,,,,
2020-02-26,0,0,9,,,,
2020-02-27,6,0,9,,,,
2020-02-28,1,0,9,,,,
2020-02-29,6,0,9,,,,
2020-03-01,3,1,9,,,,
2020-03-02,20,1,10,,,,
2020-03-03,14,4,10,,,,
2020-03-04,22,3,10,,,,
2020-03-05,34,2,10,,,,
2020-03-06,74,1,10,,,,
2020-03-07,105,2,10,,,,
2020-03-08,95,3,10,,,,
2020-03-09,121,4,11,,,,
2020-03-10,200,5,11,,,,
2020-03-11,271,2,11,,,,
2020-03-12,287,2,11,,,,
2020-03-13,351,10,11,,,,
2020-03-14,511,7,11,,,,
2020-03-15,777,10,11,,,,
2020-03-16,823,12,12,,,,
2020-03-17,887,16,12,,,,
2020-03-18,1766,23,12,,,,
2020-03-19,2988,41,12,,,,
2020-03-20,4835,1,12,,,,
2020-03-21,5374,110,12,,,,
2020-03-22,7123,80,12,,,,
2020-03-23,8459,131,13,,,,
2020-03-24,11236,119,13,,,,
2020-03-25,8789,211,13,,,,
2020-03-26,13963,249,13,,,,
2020-03-27,16797,246,13,,,,
2020-03-28,18695,411,13,,,,
2020-03-29,19979,484,13,,,,
2020-03-30,18360,318,14,,,,
2020-03-31,21595,661,14,,,,
2020-04-01,24998,909,14,,,,
2020-04-02,27103,1059,14,,,,
2020-04-03,28819,915,14,,,,
2020-04-04,32425,1104,14,,,,
2020-04-05,34272,1344,14,,,,
2020-04-06,25398,1146,15,,,,
2020-04-07,30561,1342,15,,,,
2020-04-08,30613,1906,15,,,,
2020-04-09,33323,1922,15,,,,
2020-04-10,33901,1873,15,,,,
2020-04-11,35527,2087,15,,,,
2020-04-12,28391,1831,15,,,,
2020-04-13,27620,1500,16,,,,
2020-04-14,25023,1541,16,,,,
2020-04-15,26922,2408,16,,,,
2020-04-16,30148,4928,16,,,,
2020-04-17,31667,2299,16,,,,
2020-04-18,30833,3770,16,,,,
2020-04-19,32922,1856,16,,,,
2020-04-20,24601,1772,17,,,,
2020-04-21,28065,1857,17,,,,
2020-04-22,37289,2524,17,,,,
2020-04-23,17588,1721,17,,,,
2020-04-24,26543,3179,17,,,,
2020-04-25,21352,1054,17,,,,
2020-04-26,48529,2172,17,,,,
2020-04-27,26857,1687,18,,,,
2020-04-28,22541,1369,18,,,,
2020-04-29,24132,2110,18,,,,
2020-04-30,27326,2611,18,,,,
2020-05-01,29917,2040,18,,,,
2020-05-02,33955,2062,18,,,,
2020-05-03,29288,1317,18,,,,
2020-05-04,24972,1297,19,,,,
2020-05-05,22593,1252,19,,,,
2020-05-06,23841,2144,19,,,,
2020-05-07,24128,2353,19,,,,
2020-05-08,28369,2239,19,,,,
2020-05-09,26957,1510,19,,,,
2020-05-10,25612,1614,19,,,,
2020-05-11,20258,734,20,,,,
2020-05-12,18117,1156,20,,,,
2020-05-13,22048,1703,20,,,,
2020-05-14,20782,1746,20,,,,
2020-05-15,27143,1773,20,,,,
2020-05-16,25508,1662,20,,,,
2020-05-17,24487,1186,20,,,,
2020-05-18,18873,808,21,,,,
2020-05-19,21841,791,21,,,,
2020-05-20,19970,1568,21,,,,
2020-05-21,23285,1518,21,,,,
2020-05-22,25434,1263,21,,,,
2020-05-23,24147,1305,21,,,,
2020-05-24,21236,1080,21,,,,
2020-05-25,20568,633,22,,,,
2020-05-26,19064,500,22,,,,
2020-05-27,18910,696,22,,,,
2020-05-28,18721,1526,22,,,,
2020-05-29,21817,1175,22,,,,
2020-05-30,25337,1219,22,,,,
2020-05-31,23297,945,22,,,,
2020-06-01,19807,602,23,,,,
2020-06-02,21086,764,23,,,,
2020-06-03,20544,1034,23,,,,
2020-06-04,19699,994,23,,,,
2020-06-05,21140,1036,23,,,,
2020-06-06,25178,932,23,,,,
2020-06-07,22223,659,23,,,,
2020-06-08,22302,712,24,,,,
2020-06-09,18822,493,24,,,,
2020-06-10,18665,999,24,,,,
2020-06-11,20614,918,24,,,,
2020-06-12,22883,896,24,,,,
2020-06-13,25639,849,24,,,,
2020-06-14,25540,767,24,,,,
2020-06-15,19543,296,25,,,,
2020-06-16,19957,395,25,,,,
2020-06-17,23705,836,25,,,,
2020-06-18,25559,754,25,,,,
2020-06-19,27762,717,25,,,,
2020-06-20,29909,678,25,,,,
2020-06-21,34158,607,25,,,,
2020-06-22,25793,256,26,,,,
2020-06-23,31390,427,26,,,,
2020-06-24,34720,826,26,,,,
2020-06-25,34339,751,26,,,,
2020-06-26,40949,2437,26,,,,
2020-06-27,45527,623,26,,,,
2020-06-28,42486,500,26,,,,
2020-06-29,38673,265,27,,,,
2020-06-30,41556,336,27,,,,
2020-07-01,43880,1270,27,,,,
2020-07-02,52048,652,27,,,,
2020-07-03,53399,678,27,,,,
2020-07-04,54442,694,27,,,,
2020-07-05,45221,242,27,,,,
2020-07-06,49093,271,28,,,,
2020-07-07,49990,359,28,,,,
2020-07-08,57473,1174,28,,,,
2020-07-09,58906,829,28,,,,
2020-07-10,63004,982,28,,,,
2020-07-11,66625,806,28,,,,
2020-07-12,63051,717,28,,,,
2020-07-13,57258,391,29,,,,
2020-07-14,58114,400,29,,,,
2020-07-15,68518,861,29,,,,
2020-07-16,67717,953,29,,,,
2020-07-17,76930,939,29,,,,
2020-07-18,71494,908,29,,,,
2020-07-19,63749,853,29,,,,
2020-07-20,61796,415,30,,,,
2020-07-21,56750,372,30,,,,
2020-07-22,72048,1160,30,,,,
2020-07-23,68848,1124,30,,,,
2020-07-24,63196,1052,30,,,,
2020-07-25,78427,1304,30,,,,
2020-07-26,65498,914,30,,,,
2020-07-27,55993,475,31,,,,
2020-07-28,56243,1076,31,,,,
2020-07-29,61734,1245,31,,,,
2020-07-30,74985,1457,31,,,,
2020-07-31,68032,1357,31,,,,
2020-08-01,67023,1244,31,,,,
2020-08-02,58407,1133,31,,,,
2020-08-03,47511,413,32,,,,
2020-08-04,45607,543,32,,,,
2020-08-05,57525,1403,32,,,,
2020-08-06,52804,1450,32,,,,
2020-08-07,59755,1848,32,,,,
2020-08-08,58150,1252,32,,,,
2020-08-09,56221,1069,32,,,,
2020-08-10,46847,513,33,,,,
2020-08-11,49530,523,33,,,,
2020-08-12,46813,1076,33,,,,
2020-08-13,55941,1490,33,,,,
2020-08-14,51094,1083,33,1086.4500916326458,1514.5284364548274,1294.657073526534,1261.0342025756836
2020-08-15,64838,1336,33,1079.9676198466805,1228.3601200497437,1277.1561266066913,1225.183515548706
2020-08-16,48085,1035,33,1073.5238267269322,984.7816532808343,1073.3958474528204,969.3670797348021
2020-08-17,42104,571,34,1067.1184814911826,475.1736365624495,700.7813665766132,737.4589347839355
2020-08-18,35056,445,34,1060.751354734211,624.7959762675573,816.8325140841562,613.8194828033447
2020-08-19,44091,1324,34,1054.4222184195776,1329.115720217233,1297.9274158723756,1074.951579093933
2020-08-20,47426,1356,34,1048.1308458714577,1371.9064016347575,1371.0385711552055,1285.4406623840332
2020-08-21,44005,1078,34,1041.877011766523,1546.7993297638861,1451.4737095960804,1289.8275451660156
2020-08-22,49880,1151,34,1035.6604921258713,1254.4540388776713,1270.4976186487984,1245.0798721313477
2020-08-23,44378,956,34,1029.4810643070045,1005.6379689181465,1125.6602004622487,1125.9660911560059
2020-08-24,34506,444,35,1023.3385069958565,485.20680255405335,739.356717303242,953.5770921707152
2020-08-25,38298,473,35,1017.2326001988644,637.9487047234124,834.0051826346332,796.5632581710815
2020-08-26,38119,1207,35,1011.1631252350913,1357.0113597410464,1279.5509806681696,1154.5699768066406
2020-08-27,42848,1228,35,1005.1298647283941,1400.6140628319033,1410.1367877716596,1426.8592529296875
2020-08-28,45909,1110,35,999.1326025996372,1579.0702230729453,1431.8337805101235,1476.1045455932617
2020-08-29,49654,949,35,993.1711240589549,1280.5479577055994,1298.0772198368313,1491.766025543213
2020-08-30,44143,1006,35,987.2452155980586,1026.4942845554588,1155.7757033399316,1406.8722801208496
2020-08-31,35581,290,36,981.3546649825889,495.23996854565723,808.1443604880415,1292.249216079712
2020-09-01,33850,529,36,975.4992612445164,651.1014331792678,897.8050516126609,1110.938777923584
2020-09-02,44639,1091,36,969.6787946745842,1384.9069992648597,1308.2876809927834,1299.926628112793
2020-09-03,38754,1055,36,963.8930568147985,1429.321724029049,1416.1921386129754,1752.1556434631345
