Country,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,Developing,59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,612.696514,327582,17.5,17.5,0.476,10
Albania,Developing,77.5,8,0,4.51,428.7490668,98,0,57.2,1,98,5.88,98,0.1,4575.763787,288914,1.2,1.3,0.761,14.2
Algeria,Developing,75.4,11,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,547.8517,3.91E+07,6,5.8,0.741,14.4
Angola,Developing,51.7,348,67,8.33,23.965612,64,11699,22.7,101,68,3.31,64,2,479.31224,2.69E+06,8.5,8.3,0.527,11.4
Argentina,Developing,76.2,118,8,7.93,847.3717463,94,1,62.2,9,92,4.79,94,0.1,12245.25645,4.30E+07,1,0.9,0.825,17.3
Armenia,Developing,74.6,12,1,3.91,295.6087143,93,13,54.1,1,95,4.48,93,0.1,3994.712355,29622,2.1,2.1,0.739,12.7
Australia,Developed,82.7,6,1,9.71,10769.36305,91,340,66.1,1,92,9.42,92,0.1,62214.6912,2.35E+06,0.6,0.6,0.936,20.4
Austria,Developed,81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,51322.63997,8.54E+06,1.8,2,0.892,15.9
Azerbaijan,Developing,72.5,119,5,0.01,306.1824313,94,0,51.5,6,97,6.4,94,0.1,7891.299776,953579,2.8,2.9,0.752,12.2
Bangladesh,Developing,71.4,132,98,0.01,10.44640334,97,289,17.7,121,97,2.82,97,0.1,184.56543,1.59E+07,18.1,18.6,0.57,10
Belarus,Developing,72,199,0,13.94,1147.1114,97,64,61.7,0,97,5.69,97,0.1,8318.429294,9.47E+06,1.9,2,0.796,15.7
Belgium,Developed,89,76,0,12.6,7163.348923,98,70,63.4,1,99,1.59,99,0.1,47439.39684,112957,1,1,0.89,16.3
Belize,Developing,70,177,0,6.58,670.0920883,95,0,5.1,0,95,5.79,95,0.2,4852.223666,351694,3.4,3.4,0.705,12.8
Benin,Developing,59.7,252,25,0.01,90.12206791,78,786,25.2,39,74,4.59,78,1.1,943.686575,1.29E+06,7.1,6.9,0.475,10.7
Bhutan,Developing,69.4,216,0,0.01,209.3921344,99,0,23.6,1,98,3.57,99,0.5,2522.7968,776448,15.7,16.2,0.596,12.5
Bosnia and Herzegovina,Developing,77.2,89,0,4.03,732.8662491,89,3000,55.3,0,86,9.57,86,0.1,5193.94932,35662,2.4,2.4,0.742,14.2
Botswana,Developing,65.1,268,2,0.01,662.802194,95,1,37.3,2,96,5.41,95,2.3,7497.762376,2.17E+06,6.7,6.4,0.697,12.6
Brazil,Developing,74.8,144,44,7.32,83.16465362,96,876,55.3,49,96,8.32,93,0.1,1226.61731,2.42E+07,2.7,2.7,0.747,15.2
Bulgaria,Developed,74.3,138,1,12.03,153.1400362,95,0,65.1,1,88,8.44,88,0.1,7853.335191,7.22E+06,1.9,1.9,0.787,14.8
Burkina Faso,Developing,59.3,268,39,0.01,8.386339501,91,343,18.8,63,91,4.96,91,0.6,75.1464113,1.76E+07,8.2,7.7,0.398,7.7
Burundi,Developing,59.1,297,22,0.01,41.25159038,95,0,18.2,32,95,7.54,95,0.7,312.7489794,989179,7.4,7.3,0.404,10.6
Cabo Verde,Developing,73,117,0,0.01,414.0242418,97,0,3.5,0,95,4.76,95,0.2,3529.61843,526437,6.8,6.7,0.643,13.5
Cambodia,Developing,68.3,179,11,0.01,12.17952064,88,0,18.9,12,87,5.68,88,0.2,198.687123,152779,1.9,11,0.553,10.9
Cameroon,Developing,56.7,366,47,0.01,61.39263642,87,831,28.4,71,86,4.1,87,3.7,1441.1417,2.22E+06,5.7,5.7,0.507,10.4
Canada,Developing,82,65,2,8.1,102.1902168,55,418,66.4,2,91,1.45,91,0.1,544.43376,3.55E+07,0.5,0.5,0.912,15.9
Central African Republic,Developing,58,437,15,0.01,53.43964323,47,210,22.1,22,47,4.2,47,4.5,377.132274,4.52E+06,8.4,8.3,0.345,7.1
Chad,Developing,52.6,362,46,0.01,11.3020668,37,1275,18.7,78,44,3.62,37,2.9,125.998515,1.36E+07,8.7,8.5,0.39,7.3
Chile,Developing,83,83,2,7.16,2352.999591,95,0,63.1,2,95,7.79,95,0.1,14817.37778,1.76E+07,0.8,0.8,0.841,16.2
China,Developing,75.8,86,171,5.78,109.8743903,99,52628,31.9,198,99,5.55,99,0.1,7683.5238,136427,3.7,3,0.723,13.1
Colombia,Developing,74.6,144,11,4.38,1435.487755,9,0,57.2,12,9,7.2,9,0.1,7913.383432,4.78E+07,2.1,1.9,0.72,13.6
Comoros,Developing,63.2,23,1,0.01,73.86584922,88,0,23.7,2,87,6.75,87,0.8,852.954379,759385,6.8,6.6,0.497,11.1
Costa Rica,Developing,79.5,96,1,3.45,384.5129138,91,1,59.5,1,91,9.31,91,0.1,1647.44179,4.76E+06,1.7,1.7,0.768,13.9
Croatia,Developed,77.8,97,0,12.14,1884.098811,95,0,63.1,0,95,7.8,95,0.1,13467.46827,4.24E+06,1.5,1.5,0.82,15.1
Cyprus,Developed,83,53,0,0.01,207.3041936,96,10,59.8,0,99,7.37,99,0.1,2734.88382,115239,0.9,1,0.85,14
Djibouti,Developing,63,252,1,0.38,24.73299655,78,0,34.4,1,78,1.57,78,2.1,174.91511,912164,5.6,5.4,0.467,6.3
Dominican Republic,Developing,73.6,154,6,5.92,1088.244952,89,0,57.9,7,9,4.38,91,0.3,6268.692122,145844,3.3,3.2,0.712,13.2
Ecuador,Developing,76,121,6,3.82,79.11626341,83,0,53.5,7,84,9.16,83,0.1,6432.216537,1.59E+06,1.2,1.1,0.737,14
El Salvador,Developing,73.3,181,2,2.52,665.7260253,93,0,55.4,2,93,6.77,94,0.2,3988.771871,6.28E+06,1.6,1.6,0.676,13.2
Equatorial Guinea,Developing,57.9,32,3,0.01,13.40477417,2,13,24,4,24,3.8,2,4.4,192.59733,1.13E+06,8.5,8.4,0.582,9.2
Estonia,Developing,77.3,122,0,0.01,2700.07305,93,0,59.4,0,93,6.38,93,0.1,19941.45532,1.31E+06,1.9,1.9,0.86,16.5
Ethiopia,Developing,64.2,234,140,0.01,89.95805845,77,12739,17.2,202,75,4.88,77,0.6,571.1622759,9.74E+07,1.5,1.3,0.435,8.4
Fiji,Developing,69.7,19,0,0.01,50.539484,99,0,61.9,0,99,4.49,99,0.1,546.3728,88586,4,3.7,0.727,15.2
France,Developing,82.2,79,3,11.5,6739.677606,83,267,62,3,98,11.54,98,0.1,42955.24287,6.63E+07,0.6,0.6,0.89,16.2
Gabon,Developing,65.5,237,2,0.01,715.2816939,7,33,35.8,3,68,3.44,7,2.8,9692.163874,1.88E+06,6.1,6,0.687,12.6
Georgia,Developing,74.5,125,1,6.13,221.482875,91,3188,55.3,1,91,7.42,91,0.1,4429.6575,3727,2.7,2.8,0.759,13.5
Germany,Developed,89,69,2,11.03,941.7562909,88,443,61.9,3,94,11.3,95,0.1,4792.65288,89825,1.1,1.1,0.92,17
Ghana,Developing,62.1,253,37,0.01,97.67794571,98,124,28,54,93,3.56,98,0.8,1432.227943,2.70E+07,6.4,6.3,0.576,11.7
Greece,Developing,88,73,0,7.53,2163.043414,96,1,66,0,99,8.8,99,0.1,21673.7817,1.89E+06,0.8,0.7,0.862,17.2
Guatemala,Developing,71.7,187,10,1.88,657.5282797,73,0,49.9,13,65,6.2,73,0.4,3687.763767,1.59E+07,1.2,1.2,0.614,10.7
Guinea,Developing,58.1,299,27,0.01,50.57976483,51,175,22.7,41,42,5.64,51,0.5,561.997387,118559,7.5,7.4,0.412,8.6
Guinea-Bissau,Developing,58.4,282,4,0.01,50.06053544,87,1,25.6,6,87,5.59,87,3.4,642.6256154,1.73E+06,7.3,7.1,0.419,9.2
Guyana,Developing,66,217,0,7.64,4.141293345,98,0,45.9,1,97,5.25,98,0.3,43.82321,763393,5.5,5.3,0.636,10.3
Haiti,Developing,63.1,245,14,0.01,5.103249438,48,0,48.8,19,55,7.56,48,0.5,83.1148117,1.57E+06,3.9,3.9,0.487,9.1
Honduras,Developing,74.5,149,3,2.87,345.3776344,97,0,5.2,4,97,8.72,97,0.3,2242.711912,889216,2.1,2.1,0.618,11.4
India,Developing,68,184,957,3.07,86.52153895,79,79563,18.1,1200,84,4.69,85,0.2,1573.11889,1.29E+09,26.8,27.4,0.607,11.6
Indonesia,Developing,68.9,179,119,0.09,200.0684443,78,12943,26.5,142,8,2.85,78,0.3,3491.595887,2.55E+08,1.4,1.2,0.682,12.9
Iraq,Developing,67.9,199,32,0.01,43.5240801,62,1317,58.5,39,67,5.54,64,0.1,673.74737,3568,5.3,5.1,0.658,10.1
Ireland,Developed,81.2,66,0,10.75,746.3670453,95,33,62.1,0,96,7.78,96,0.1,5553.32623,4.62E+06,0.3,0.2,0.91,18.6
Israel,Developing,82.2,6,1,2.62,4348.33531,97,6,64.6,1,95,7.81,95,0.1,37582.84624,82157,1.2,1.1,0.895,16
Italy,Developed,82.5,57,2,7.56,4831.644796,95,0,63.1,2,95,9.25,95,0.1,35396.66517,678914,0.6,0.6,0.877,16.3
Jamaica,Developing,75.8,133,1,3.83,427.3054534,92,0,53.5,1,93,5.36,92,0.5,4855.743789,286287,1.8,1.7,0.727,12.8
Jordan,Developing,74,113,4,0.41,63.8784522,98,20,64.8,4,98,7.45,98,0.1,466.94775,88936,3.9,3.9,0.737,13.1
Kazakhstan,Developing,69.9,22,5,6.29,24.44473709,95,321,52.3,5,95,4.36,95,0.1,1286.56511,1.73E+07,2.4,2.5,0.789,15
Kenya,Developing,62.9,255,56,0.01,170.9626624,92,354,21.3,79,93,5.72,92,2.9,1335.6458,462425,7.8,7.7,0.546,11.1
Kiribati,Developing,66.1,2,0,0.01,97.87193319,75,0,77.1,0,79,1.21,75,0.1,1684.54274,11458,0.1,0.1,0.597,11.9
Latvia,Developed,74.4,156,0,0.01,1542.635979,92,36,6.7,0,92,5.88,92,0.1,15725.1374,1.99E+06,2.2,2.2,0.822,16
Lebanon,Developing,74.8,99,1,1.32,140.3771361,81,112,65.4,1,75,6.39,81,0.1,8161.4614,563279,4.8,4.9,0.763,13.3
Lesotho,Developing,52.1,522,4,0.01,162.1278115,93,0,32,6,9,1.62,93,9.4,1174.839214,2.15E+06,5.8,5.6,0.491,10.8
Liberia,Developing,58.1,329,8,0.01,54.37396957,5,34,26.7,11,49,1.4,5,0.9,458.4651734,439737,6.7,6.5,0.426,9.9
Lithuania,Developed,73.4,169,0,15.19,2211.744178,94,11,61.9,0,93,6.55,93,0.1,16554.97139,2.93E+06,2.6,2.7,0.841,16.5
Luxembourg,Developed,81.7,65,0,11.12,16255.16198,94,0,6.9,0,99,6.94,99,0.1,119172.7418,556319,1,0.9,0.892,13.9
Madagascar,Developing,65.1,225,29,0.01,5.339065673,73,3,2,39,73,3.4,73,0.3,452.4631926,2.36E+06,7.2,7.1,0.509,10.3
Malawi,Developing,57.6,377,27,0.01,59.48744893,91,3,19.2,40,87,11.38,91,5.1,354.7253961,1.77E+06,6.5,6.3,0.466,10.7
Malaysia,Developing,74.8,126,4,0.52,721.3655432,96,221,39.5,4,97,4.17,97,0.1,11183.96191,322817,7.6,7.4,0.783,13
Maldives,Developing,78.2,62,0,0.01,2051.748615,99,0,26.2,0,99,13.73,99,0.1,7716.2415,41,13.6,13.7,0.693,12.7
Mali,Developing,57.8,272,52,0.01,46.56231672,73,290,23.2,85,74,6.86,73,1.6,825.5729915,1.70E+07,7.9,7.7,0.43,8.2
Malta,Developed,81.4,55,0,8.49,409.6000248,9,0,69.2,0,99,9.75,99,0.1,2618.92599,427364,0.8,0.8,0.847,14.3
Mauritania,Developing,63,26,8,0.01,80.92679802,84,14,3.1,12,84,3.77,84,0.9,1326.66882,46392,8,7.7,0.509,8.5
Mauritius,Developing,74.2,148,0,0.01,115.2784282,97,0,32.8,0,98,4.81,97,0.1,1153.93822,126934,7,6.9,0.769,14.7
Mexico,Developing,76.6,122,31,5.26,168.173753,84,3,62.8,36,87,6.3,87,0.1,1452.27766,1.24E+06,1.6,1.5,0.754,13.1
Mongolia,Developing,68.4,225,1,0.01,281.0023992,99,0,51.5,1,99,4.73,99,0.1,4181.583321,2.92E+06,2.2,2.3,0.729,14.8
Montenegro,Developing,75.9,17,0,0.01,726.0291764,87,0,61.3,0,91,6.42,91,0.1,7378.345289,62181,1.8,1.9,0.803,15.1
Morocco,Developing,74.1,96,18,0.43,198.7343495,99,10,57.5,21,99,5.91,99,0.1,3154.513484,3.43E+06,6.4,6.2,0.64,12.1
Mozambique,Developing,56.7,375,61,0.01,54.91159475,79,9,22.2,84,79,6.98,79,4.1,623.2871141,2.72E+07,3.6,3.5,0.409,9.1
Myanmar,Developing,66.4,21,40,0.01,45.33788677,88,122,22.9,52,88,2.28,88,0.3,1262.893782,5.19E+07,12.9,13.1,0.547,9.1
Namibia,Developing,65.9,242,2,0.01,751.3982719,88,477,34.9,3,88,8.93,88,2.2,5421.343953,237992,8.6,8.5,0.632,11.7
Nepal,Developing,69.6,158,18,0.01,8.523486403,92,1279,18.5,22,92,5.8,92,0.1,76.2386977,2.83E+07,15.9,16.3,0.551,12.4
Netherlands,Developed,81.7,58,1,0.01,1491.703605,92,140,61.6,1,96,1.9,96,0.1,52157.4687,168658,1,0.9,0.923,18.1
Nicaragua,Developing,74.5,148,2,3.55,473.1238124,98,0,53.2,3,99,9.4,98,0.1,1975.46477,613997,1.8,1.7,0.636,11.6
Niger,Developing,61.4,223,49,0.01,3.304039899,68,1142,18.9,88,67,5.82,68,0.5,43.646498,1.91E+07,9.8,9.6,0.345,5.3
Nigeria,Developing,53.6,362,490,0.01,263.2111031,49,6855,24.7,759,49,3.67,49,3.9,3221.678128,1.76E+06,1.1,9.9,0.521,10
Pakistan,Developing,66.2,162,359,0.01,62.29361092,72,1370,24.7,442,72,2.61,72,0.1,1316.98966,1.86E+08,19.4,19.8,0.542,7.8
Panama,Developing,77.6,119,1,6.74,1842.463782,8,0,57.1,1,8,8.3,8,0.1,12593.7374,393986,1.9,1.8,0.78,13
Papua New Guinea,Developing,62.7,278,10,0.01,208.2311603,67,2299,47.9,13,64,4.26,73,0.7,2182.716565,7.76E+06,1.3,1.3,0.511,10
Paraguay,Developing,73.9,147,3,0.01,561.7684701,87,0,49.4,3,83,9.81,87,0.2,4712.822736,6.55E+06,2,1.9,0.688,12.3
Peru,Developing,75.3,125,8,0.01,973.728675,88,0,54.9,10,78,5.47,88,0.1,6491.5245,3.97E+06,1.1,1.1,0.735,13.4
Philippines,Developing,68.4,214,54,4.52,31.27232188,67,58848,24.8,68,77,4.71,67,0.1,2842.938353,112249,1,9.7,0.676,11.7
Poland,Developed,77.3,12,2,10.71,243.808475,96,0,61.1,2,94,6.35,98,0.1,14341.675,3.81E+06,1.9,2.1,0.85,16.4
Portugal,Developed,89,78,0,9.88,271.2545531,98,0,6.9,0,98,9.5,98,0.1,2277.53613,14162,0.7,0.5,0.837,16.8
Romania,Developed,74.8,135,2,0.01,1.576409172,94,59,59.9,2,94,5.57,94,0.1,12.27733,2.00E+06,2.6,2.8,0.797,14.7
Russian Federation,Developing,73,225,13,10.12,1340.553699,97,4711,59.9,15,97,7.7,97,0.1,14125.961,1.44E+08,2.3,2.3,0.803,14.9
Rwanda,Developing,65.7,23,12,0.01,7.549797238,98,10,2.8,16,98,7.53,98,0.4,76.5699517,1.13E+07,5.8,5.8,0.488,10.8
Samoa,Developing,73.8,128,0,0.01,660.2777923,56,0,74.3,0,58,7.22,63,0.1,4178.973369,19229,0.2,0.1,0.701,12.9
Sao Tome and Principe,Developing,67.3,191,0,0.01,225.7307751,95,0,3.1,0,95,8.35,95,0.2,1821.878734,191266,5.6,5.4,0.562,11.1
Senegal,Developing,66.4,192,19,0.26,12.80528533,89,32,23.8,27,85,4.66,89,0.3,152.443873,1.45E+07,9.7,9.5,0.483,9.1
Serbia,Developing,75.4,123,1,9.09,8.617208431,92,37,59.4,1,93,1.37,93,0.1,62.173221,713576,2.1,2.1,0.771,14.3
Seychelles,Developing,73,17,0,0.01,151.1045552,99,0,36.2,0,99,3.37,99,0.1,1557.77892,91359,5.7,6,0.766,13.2
Sierra Leone,Developing,48.1,463,23,0.01,1.443286353,83,1006,23.8,32,83,11.9,83,0.6,78.4394757,779162,7.5,7.4,0.426,9.5
Solomon Islands,Developing,68.8,183,0,0.01,3.718438799,88,0,49.7,0,94,5.5,88,0.1,29.652622,57554,1.1,1.2,0.512,9.6
South Africa,Developing,62,347,42,7.38,922.0507313,8,66,5.3,52,77,8.8,77,3.7,6479.625659,5.41E+07,4.9,5.9,0.66,13
Spain,Developed,82.6,58,1,0.01,42.98847625,96,154,66,1,97,9.3,97,0.1,296.47225,4.65E+06,0.6,0.5,0.877,17.6
Sri Lanka,Developing,74.7,141,3,2.37,42.7308283,99,1686,22.7,3,99,3.5,99,0.1,382.54994,2771,15.2,15,0.76,14
Suriname,Developing,71.4,178,0,6.32,1132.432517,85,0,57.7,0,85,5.69,85,0.4,9564.46383,547928,3.5,3.5,0.722,12.7
Swaziland,Developing,58.4,382,2,0.01,574.3895102,98,0,31.8,3,98,9.25,98,7.3,3464.35169,129597,4.3,4.3,0.541,11.4
Sweden,Developed,82.3,54,0,7.3,1142.212403,67,26,59,0,98,11.93,98,0.1,5918.19898,969611,1.5,1.3,0.906,15.8
Tajikistan,Developing,69.6,162,10,0.01,7.829008596,97,0,39.9,11,94,6.88,97,0.2,114.45919,8.36E+06,3.6,3.7,0.622,11.3
Thailand,Developing,74.6,152,8,6.41,789.0772949,99,0,32.4,10,99,4.12,99,0.1,5941.8471,6.84E+07,7.8,7.8,0.737,13.6
Timor-Leste,Developing,68,155,2,0.01,28.14578503,77,47,17,2,76,1.48,77,0.1,1153.51578,1.21E+06,1.9,11.1,0.612,12.5
Togo,Developing,59.7,285,13,0.01,4.877350139,87,577,23.7,20,85,5.25,87,1,62.1318489,7.23E+06,6.6,6.4,0.475,12
Tonga,Developing,73.3,135,0,0.01,565.9672173,8,0,74.8,0,82,5.18,8,0.1,4192.349758,15782,0.1,0.1,0.716,14.3
Trinidad and Tobago,Developing,71.1,171,0,6.94,1578.872339,92,0,46,0,94,5.93,92,0.3,19325.24283,1.35E+06,5.8,6,0.778,12.7
Tunisia,Developing,75.1,12,3,1.39,604.8701316,98,15,6.2,3,98,7,98,0.1,4271.68172,1.11E+06,6.5,6.4,0.722,14.7
Turkey,Developing,75.5,17,16,1.45,181.9083783,96,565,65.3,19,96,5.41,96,0.1,12127.22522,773628,4.9,4.7,0.759,14.5
Turkmenistan,Developing,66,217,7,2.9,691.1333535,97,0,47.7,8,98,2.7,98,0.1,7962.365824,5.47E+06,3.3,3.3,0.683,10.8
Uganda,Developing,61.5,38,68,0.01,14.16770158,78,314,18.1,97,82,7.22,78,3.2,719.172669,3.88E+07,5.7,5.6,0.483,10
Ukraine,Developing,78,23,4,8.06,5.663849328,22,0,6.7,5,45,7.1,23,0.2,314.658296,4.53E+07,2.3,2.4,0.746,15.2
Uruguay,Developing,76.8,117,0,6.03,463.6397821,95,0,63.4,0,95,8.58,95,0.1,16737.89827,3.42E+06,1.5,1.4,0.791,15.5
Uzbekistan,Developing,69.2,184,16,0.01,0.442802404,99,8,43.9,18,99,5.84,99,0.1,25.448414,37577,3,3.1,0.69,12.1
Vanuatu,Developing,71.7,134,0,0.01,564.8167043,64,10,52.5,0,65,5.2,64,0.1,3148.36513,25885,1.5,1.4,0.596,10.8
Zambia,Developing,61.1,314,28,0.01,196.6675768,86,9,22.8,41,78,4.99,86,4.3,1738.8822,1.56E+06,6.3,6.2,0.57,12.5
Zimbabwe,Developing,59.2,371,23,6.5,10.82259524,91,0,31.3,34,92,6.44,91,6.3,127.47462,1.54E+07,5.9,5.7,0.498,10.3
