CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,Classificacao
35000139,142,1
35000140,79,1
35000267,131,2
35000280,146,1
35000334,95,1
35000413,100,1
35000486,146,3
35000553,172,2
35000620,81,2
35000668,44,1
35000673,97,1
35000711,32,2
35000848,147,2
35000875,69,1
35000905,48,2
35000917,47,2
35000929,144,2
35000930,43,2
35000942,114,2
35000954,241,2
35000978,60,2
35001036,77,1
35001156,108,2
35001168,72,1
35001247,71,1
35001259,74,1
35001284,73,1
35001363,107,2
35001375,125,2
35001569,46,1
35001594,123,2
35001600,72,1
35001624,149,2
35001636,192,2
35001661,27,1
35001685,30,1
35001703,269,2
35001740,43,1
35001797,12,2
35001824,87,2
35001855,122,1
35001880,209,2
35001946,157,2
35001958,98,2
35001971,187,1
35002008,114,2
35002057,90,2
35002148,51,2
35002173,138,2
35002185,139,3
35002197,141,2
35002203,136,1
35002252,297,2
35002264,352,2
35002422,295,2
35002434,27,1
35002461,38,1
35002513,302,2
35002549,80,1
35002562,43,1
35002628,176,2
35002636,188,1
35002641,183,2
35002707,115,1
35002811,155,2
35002847,130,1
35002859,87,1
35002860,114,1
35002902,207,2
35002914,261,2
35003001,118,1
35003013,91,1
35003244,64,1
35003372,70,2
35003384,131,1
35003402,103,1
35003426,32,1
35003499,127,2
35003542,67,2
35003554,14,1
35003566,42,2
35003585,182,2
35003608,171,3
35003657,76,1
35003669,100,2
35003670,83,2
35003682,220,2
35003694,200,3
35003700,71,2
35003748,29,2
35003773,111,2
35003797,105,2
35003839,101,2
35003852,170,2
35003888,144,2
35003918,25,2
35003924,159,2
35003931,45,2
35004121,153,1
35004145,154,2
35004157,17,2
35004169,66,2
35004212,65,2
35004224,71,2
35004236,27,1
35004297,50,1
35004327,44,2
35004340,45,2
35004352,408,3
35004479,240,2
35004510,10,2
35004546,54,2
35004625,13,1
35004704,322,2
35004736,106,2
35004790,161,2
35004807,80,1
35004832,391,2
35004947,36,1
35004984,94,2
35005010,391,2
35005061,43,1
35005162,392,2
35005204,143,2
35005216,183,2
35005228,47,2
35005289,174,2
35005307,148,2
35005356,130,2
35005368,370,2
35005400,45,1
35005435,115,1
35005484,99,1
35005502,82,1
35005548,117,1
35005629,95,2
35005630,23,2
35005642,101,1
35005824,206,2
35005836,57,2
35005915,117,2
35005988,70,2
35006026,184,1
35006063,162,2
35006099,67,1
35006117,98,2
35006166,149,1
35006208,125,2
35006257,197,2
35006373,83,2
35006385,91,2
35006427,82,1
35006476,23,2
35006555,77,1
35006592,78,1
35006609,194,3
35006610,38,2
35006646,54,1
35006695,26,2
35006713,205,2
35006737,82,2
35006836,37,1
35006920,137,2
35006981,134,2
35007031,15,1
35007134,42,2
35007161,135,2
35007195,119,1
35007298,100,1
35007407,46,1
35007493,426,2
35007500,49,1
35007560,191,2
35007584,43,2
35007596,71,2
35007638,45,2
35007648,13,1
35007729,198,1
35007882,24,1
35007948,97,2
35007959,35,1
35008059,45,2
35008096,119,1
35008126,27,2
35008148,34,1
35008151,90,2
35008175,22,1
35008266,262,2
35008285,214,3
35008308,91,1
35008357,128,2
35008382,31,2
35008436,46,2
35008473,72,1
35008497,98,1
35008540,257,2
35008564,36,2
35008576,25,1
35008643,94,2
35008655,46,2
35008667,71,1
35008709,87,1
35008722,81,2
35008758,153,2
35008801,131,2
35008825,48,2
35008837,104,2
35008874,53,2
35008886,42,1
35008936,51,2
35008941,69,2
35009039,36,2
35009088,55,1
35009106,75,1
35009131,45,2
35009180,53,2
35009210,88,2
35009261,187,2
35009283,60,2
35009295,134,2
35009325,60,2
35009337,114,1
35009350,43,1
35009404,44,1
35009416,30,1
35009441,55,2
35009453,76,1
35009465,58,2
35009477,103,2
35009573,83,2
35009581,106,2
35009751,280,2
35009817,47,2
35009854,76,2
35009957,106,2
35009982,38,1
35010017,72,2
35010030,71,1
35010091,105,1
35010121,98,2
35010133,60,1
35010145,83,1
35010248,37,2
35010259,126,1
35010261,71,2
35010285,101,1
35010297,46,1
35010352,88,2
35010397,32,1
35010479,44,1
35010492,42,2
35010510,55,1
35010534,45,2
35010561,182,1
35010571,20,1
35010637,39,1
35010650,81,1
35010686,78,1
35010716,177,2
35010789,133,1
35010873,76,2
35010947,36,1
35010984,36,1
35011034,136,1
35011095,257,1
35035403,118,1
35035518,171,2
35035622,82,1
35035725,34,1
35036213,18,1
35036274,68,1
35036663,37,2
35036675,41,2
35036973,40,2
35037114,73,2
35037448,157,2
35037692,96,1
35037710,79,2
35038131,47,2
35038167,174,2
35038295,238,1
35038398,49,2
35038428,23,1
35038453,172,1
35038519,58,1
35038647,30,1
35039299,104,2
35039548,52,2
35040548,56,1
35040708,51,1
35040769,48,2
35040770,91,1
35041099,111,2
35041973,126,1
35042006,20,2
35042031,88,2
35042067,28,2
35044386,66,1
35044441,100,1
35044891,17,1
35044921,55,1
35044945,18,2
35045081,63,1
35046012,349,3
35046024,52,2
35046309,139,2
35046401,45,2
35046516,32,2
35048148,24,2
35048422,77,1
35049086,38,1
35049669,194,3
35051147,275,2
35054082,51,1
35060574,34,2
35061591,29,2
35063332,12,2
35065134,17,2
35070178,135,2
35071936,47,2
35072552,85,2
35080615,46,1
35100024,16,2
35100031,34,2
35100043,31,2
35100080,18,2
35100161,10,2
35100171,25,2
35100183,15,2
35100213,46,2
35100298,13,2
35100304,28,3
35100328,31,2
35100353,34,2
35100365,31,2
35100420,41,3
35100432,121,4
35100444,22,2
35100468,32,2
35100473,144,3
35100493,29,2
35100547,48,2
35100663,53,2
35100730,50,2
35100785,39,3
35100808,55,2
35100900,22,2
35100912,67,2
35101011,45,2
35101047,67,2
35101096,13,2
35101148,17,2
35101151,51,2
35101175,68,2
35101266,58,2
35101278,122,4
35101333,24,2
35101448,60,2
35101539,25,2
35101564,15,2
35101597,74,3
35101618,59,2
35101643,29,2
35101667,13,2
35101679,20,2
35101692,48,2
35101710,45,2
35101722,27,3
35101734,44,3
35101761,19,2
35101771,44,2
35101795,10,2
35101813,25,2
35101886,65,3
35101898,37,2
35101904,94,3
35101916,17,2
35101941,42,2
35101965,33,2
35101989,30,2
35101990,10,2
35102015,62,2
35102027,13,2
35102039,20,2
35102040,42,2
35102076,69,2
35102088,16,2
35102124,53,2
35102167,20,2
35102180,28,2
35102258,41,2
35102283,41,2
35102301,41,2
35102350,11,3
35102428,116,2
35102465,57,2
35102489,22,2
35102490,34,2
35102635,29,2
35102660,28,3
35102751,37,3
35102787,27,2
35102799,58,3
35102805,36,3
35102829,58,2
35103123,23,2
35103248,23,3
35103263,17,2
35103275,35,2
35103330,12,2
35103342,51,3
35103408,12,2
35103421,115,4
35103433,279,3
35103445,46,3
35103494,28,2
35103512,10,2
35103524,210,4
35103548,147,4
35103697,33,4
35103718,93,3
35103780,23,2
35103834,15,2
35103861,130,3
35104206,36,3
35104334,26,2
35104449,60,4
35104607,61,4
35104620,204,4
35104644,33,2
35104875,65,3
35104887,17,3
35104917,71,4
35104985,430,4
35104991,42,3
35105028,22,3
35105036,41,4
35105041,32,3
35105053,44,2
35105065,11,2
35105077,14,3
35105302,14,3
35105314,61,4
35105429,19,2
35105569,29,3
35105600,73,4
35105648,143,4
35105824,10,2
35105910,11,2
35105961,43,2
35105971,34,2
35106148,49,3
35106367,11,2
35106471,30,2
35106616,41,3
35106628,42,2
35106636,52,4
35106677,70,2
35106690,35,2
35106756,62,3
35106768,35,2
35106781,30,2
35106800,25,2
35106811,50,2
35106884,148,2
35106896,39,2
35106926,75,2
35106999,11,2
35107049,51,3
35107050,43,2
35107116,61,2
35107128,18,2
35107153,43,2
35107165,14,4
35107177,221,4
35107189,14,1
35107190,74,4
35107219,32,3
35107335,16,2
35107402,23,4
35107414,20,3
35107438,29,2
35107475,48,3
35107487,46,3
35107499,34,2
35107517,113,4
35107529,15,2
35107542,36,4
35107554,48,2
35107591,107,2
35107608,45,2
35107633,83,2
35107645,37,2
35107682,183,2
35107700,25,3
35107736,36,2
35107803,39,3
35107906,33,2
35107924,26,2
35108054,12,2
35108066,22,2
35108078,23,2
35108112,12,3
35108145,95,4
35108182,51,2
35108194,19,2
35108200,51,2
35108303,30,2
35108315,29,2
35108339,33,2
35108352,38,2
35108364,56,2
35108397,45,2
35108418,24,2
35108443,51,2
35108455,20,2
35108467,28,2
35108509,13,2
35108510,33,2
35108561,38,2
35108571,37,2
35108583,54,2
35108601,35,2
35108613,17,3
35108625,43,2
35108637,31,2
35108649,62,3
35108736,33,2
35108741,86,2
35108777,42,2
35108820,36,2
35108832,27,2
35108844,54,2
35108856,47,2
35108868,38,2
35108873,106,2
35108923,134,3
35108959,168,2
35108972,52,2
35108996,21,2
35109010,29,2
35109022,114,2
35109046,20,2
35109061,16,2
35109101,57,2
35109162,24,3
35109198,18,2
35109228,41,3
35109289,22,3
35109307,29,2
35109381,73,2
35109393,60,2
35109400,64,2
35109411,49,2
35109435,48,2
35109496,43,2
35115307,15,2
35115642,17,2
35117912,14,2
35118072,44,2
35118163,38,2
35118242,28,2
35118412,18,2
35118667,31,2
35118679,11,2
35118758,11,3
35118850,32,2
35118928,44,2
35118936,17,2
35118977,20,2
35119039,32,3
35119040,39,2
35119118,21,2
35119192,37,2
35119210,10,2
35119222,25,2
35119261,46,2
35119374,30,2
35119507,38,2
35119520,19,2
35119581,99,2
35119593,32,2
35119611,10,2
35119659,52,2
35119660,10,2
35119684,11,3
35119982,81,3
35120017,16,2
35120029,14,2
35120030,30,2
35120285,51,4
35120339,77,2
35120406,35,2
35120509,10,2
35120947,70,2
35121551,13,2
35121721,32,3
35121952,12,2
35122956,10,2
35123547,16,2
35123560,20,2
35124175,25,3
35124199,125,4
35124291,15,2
35124400,12,2
35124436,22,2
35124448,33,2
35124459,31,2
35124503,14,2
35124515,12,2
35124576,33,2
35124606,56,3
35124618,112,3
35124709,20,2
35124795,33,2
35124849,29,2
35124862,89,2
35125179,18,2
35125349,16,2
35125398,29,2
35125635,43,2
35125726,36,3
35125799,57,2
35125817,34,2
35125908,10,2
35126615,51,2
35126640,18,2
35126718,61,4
35126895,19,2
35126974,50,4
35127115,57,3
35127991,24,4
35128120,11,2
35128200,94,2
35130205,44,2
35130254,55,3
35130369,45,2
35130540,89,2
35130758,120,2
35130916,13,2
35130928,35,2
35131039,45,2
35131064,22,3
35131490,16,2
35131507,52,3
35131623,14,2
35131660,77,3
35131738,12,2
35131805,34,2
35131945,85,4
35132044,13,2
35132056,15,2
35132123,197,2
35132160,18,2
35132214,190,3
35132238,33,2
35132287,120,4
35132329,21,2
35132559,39,3
35132986,22,3
35133115,24,4
35133152,10,2
35133176,14,2
35133346,29,2
35133395,138,3
35133401,55,2
35133450,41,2
35133462,15,2
35133498,23,2
35133541,19,2
35133565,11,2
35133723,13,2
35133735,17,2
35133942,10,2
35134120,10,2
35134132,33,2
35134168,237,2
35134569,11,2
35134673,32,2
35134788,22,3
35134806,488,4
35135057,30,2
35135094,24,3
35135136,72,2
35135148,285,3
35135203,124,3
35135227,98,3
35135288,67,4
35135434,40,2
35135446,37,2
35135471,14,2
35135525,20,3
35135549,50,2
35135550,20,2
35135562,19,2
35135586,49,2
35135720,14,2
35136359,37,2
35136396,11,2
35136463,51,2
35136566,12,3
35136759,24,2
35136918,12,2
35136931,251,4
35136943,66,2
35137042,38,2
35137066,15,2
35137078,26,2
35137085,34,2
35137108,40,2
35137133,38,4
35137157,23,2
35137397,85,3
35137418,36,2
35137650,22,2
35137716,36,2
35137753,84,2
35137947,32,2
35137960,52,2
35137972,50,2
35138009,35,2
35138198,14,2
35138216,15,2
35138253,14,2
35138265,13,2
35138575,48,2
35138988,11,2
35139051,13,2
35139099,17,2
35139129,101,2
35139142,17,2
35139191,17,2
35139208,23,2
35139221,34,2
35139233,36,2
35139270,35,2
35139497,54,4
35139580,36,2
35139609,36,2
35139610,45,2
35139622,10,2
35139646,76,3
35139774,27,2
35139804,40,2
35140004,45,2
35140132,26,2
35140144,113,2
35140181,22,2
35140200,11,2
35140314,21,2
35140326,19,2
35140338,39,4
35140348,30,2
35140351,81,3
35140363,18,2
35140788,19,2
35140806,31,2
35140824,16,2
35140831,24,2
35140880,45,2
35140934,25,2
35141159,26,2
35141240,75,4
35141264,15,2
35141297,14,2
35141331,15,2
35141367,95,2
35141446,25,2
35141483,28,2
35141495,27,2
35141501,11,2
35141689,79,2
35141768,20,1
35141773,31,2
35141811,127,2
35142013,45,3
35142281,14,4
35142311,30,2
35142359,35,3
35142360,20,2
35142505,10,2
35142529,21,2
35142612,83,3
35142682,42,3
35142700,11,2
35142724,48,2
35142736,62,4
35142759,69,2
35142864,19,2
35142888,28,2
35142967,202,4
35143029,23,2
35143157,37,2
35143200,102,3
35143406,14,3
35143571,32,2
35143595,31,3
35143649,37,2
35143959,53,2
35144034,27,3
35144125,19,2
35144150,16,3
35144186,23,3
35144204,18,2
35144216,24,4
35144228,83,3
35144241,27,2
35144307,14,2
35144373,15,2
35144459,27,2
35144721,29,2
35144733,19,2
35144745,75,2
35144770,21,2
35144824,17,3
35144952,139,3
35150162,12,2
35150198,49,2
35150228,16,2
35150253,12,1
35150265,52,2
35150289,12,2
35150344,38,2
35150373,25,2
35150548,32,2
35150551,20,2
35150733,11,2
35150885,106,3
35151191,11,2
35151385,47,2
35151506,72,3
35151518,37,2
35151725,13,2
35151774,47,2
35151798,25,3
35151836,21,2
35151889,44,2
35151907,13,2
35152195,11,2
35152511,11,2
35152523,17,2
35152729,114,4
35152754,18,3
35152785,28,2
35152900,18,1
35153084,18,2
35153114,19,2
35153163,35,4
35153187,11,2
35153278,18,2
35153285,14,2
35153497,17,2
35153503,20,2
35153564,27,1
35153631,23,2
35153643,18,2
35153692,10,2
35153771,23,2
35153801,25,2
35153825,46,2
35153953,14,2
35153989,117,3
35154210,47,2
35154283,26,2
35154337,22,2
35154441,21,2
35154684,12,2
35154775,26,4
35154817,19,2
35154854,11,2
35154908,16,2
35155019,30,2
35155111,17,2
35155196,16,2
35155263,30,2
35155287,33,2
35155299,10,2
35156231,24,2
35156541,16,2
35156565,34,2
35157132,18,2
35157478,10,2
35157879,33,2
35158197,16,2
35158318,68,2
35158367,30,2
35158483,56,4
35158525,30,2
35158549,12,1
35158550,12,2
35158823,10,2
35158859,30,2
35159165,13,2
35159177,13,4
35159232,20,2
35159244,12,2
35159359,10,2
35159554,14,2
35159897,34,2
35160519,76,2
35160763,18,2
35161007,14,2
35161238,53,2
35161287,20,2
35161299,32,2
35161317,11,2
35161412,18,2
35161895,47,2
35161913,11,2
35161949,13,2
35161950,18,3
35162152,15,2
35162243,89,4
35162826,11,2
35163326,27,2
35163338,30,2
35164082,15,2
35164732,12,2
35165098,23,2
35165232,43,2
35165268,25,2
35165311,35,3
35165323,19,3
35165335,14,2
35165347,124,4
35165359,12,2
35165621,26,2
35165670,37,2
35165967,11,2
35166397,15,2
35166406,11,2
35166832,15,2
35167447,43,2
35167459,12,1
35167782,38,2
35168531,14,2
35168543,53,2
35168622,49,2
35168671,40,2
35168828,15,2
35168853,26,2
35169882,12,2
35170409,23,2
35170458,21,2
35170636,11,2
35170975,20,2
35171189,23,2
35171487,11,2
35172492,66,2
35172509,37,2
35172856,25,2
35173150,16,2
35173174,19,2
35173186,93,4
35173666,10,2
35173685,16,2
35173708,30,2
35173712,69,2
35174087,13,2
35174178,11,2
35174920,23,2
35175043,20,2
35175493,22,2
35175936,48,2
35176205,21,2
35176229,14,2
35176588,43,2
35176597,10,2
35176734,21,2
35179383,11,2
35179848,24,2
35179887,11,3
35184949,40,2
35185061,29,2
35185383,106,2
35185437,19,2
35185449,20,2
35185760,12,1
35186697,25,2
35187185,16,2
35187537,29,2
35188840,37,2
35189443,33,2
35191243,39,1
35191279,40,1
35191711,12,2
35192211,11,2
35192223,11,1
35194074,41,2
35195005,62,4
35197048,18,2
35197269,53,2
35197397,16,2
35198959,13,2
35207639,49,1
35207676,23,1
35207755,62,2
35218085,17,1
35218112,11,1
35240916,34,1
35240936,73,1
35240941,64,1
35250348,32,1
35256869,12,2
35257758,79,2
35258039,37,2
35268562,30,2
35268586,30,2
35273659,39,1
35276182,28,1
35284348,85,2
35287581,53,2
35287600,13,4
35288573,14,1
35290671,113,3
35290701,120,2
35290749,111,2
35290762,19,3
35290841,53,2
35290993,24,2
35292175,59,2
35295012,139,2
35296004,22,2
35296016,13,2
35297537,95,1
35299182,18,2
35299327,17,2
35299364,67,2
35299625,11,2
35299686,15,3
35299984,12,2
35301279,20,4
35304049,12,2
35304815,133,3
35307592,21,2
35307622,80,2
35313661,49,3
35314785,26,2
35323724,574,2
35324255,118,2
35324462,376,2
35325983,13,2
35330401,90,3
35335733,17,2
35345891,117,2
35363315,105,2
35364265,108,2
35365622,105,2
35367734,49,2
35368015,26,2
35368441,22,3
35369226,11,3
35370824,40,2
35370836,12,2
35374957,29,3
35388117,144,2
35395754,24,2
35399197,41,0
35405231,69,2
35405243,64,2
35405322,120,2
35405346,66,2
35406296,109,2
35407641,30,2
35409169,69,1
35417865,313,2
35419576,22,2
35419588,41,2
35419679,38,2
35428905,67,2
35428929,86,3
35429089,134,2
35429168,26,2
35429673,46,2
35430432,70,2
35433846,61,2
35433858,104,2
35433861,72,2
35434632,130,2
35435818,20,2
35438042,64,1
35438170,19,2
35438261,73,2
35438285,74,2
35438315,68,4
35438418,103,2
35438424,146,2
35438431,68,2
35438480,101,2
35438820,70,2
35439083,103,2
35439216,127,2
35439447,73,2
35439642,10,2
35440036,72,2
35440310,10,2
35440620,62,2
35440966,105,2
35443785,119,2
35443803,95,2
35444091,47,2
35445630,26,2
35446105,183,2
35446725,14,4
35446836,73,2
35446993,80,3
35448060,71,3
35448285,75,2
35449748,20,2
35450868,75,3
35450935,65,2
35451411,19,2
35456731,115,3
35463279,45,4
35467789,22,2
35468344,16,2
35468400,19,3
35470259,20,2
35470582,32,2
35477904,134,2
35480289,21,2
35480691,28,2
35481014,49,2
35481105,16,2
35481555,77,3
35482912,53,2
35800089,13,2
35800090,14,2
35800193,18,2
35800971,12,2
35801458,10,2
35802050,14,2
35802360,14,2
35802578,23,3
35802839,25,3
35803259,11,2
35803844,28,2
35805048,27,2
35805063,34,2
35805440,40,2
35805452,17,2
35805567,11,2
35805661,22,2
35805683,34,2
35805701,16,2
35806122,43,2
35806286,35,2
35806298,17,2
35806304,12,2
35806420,42,2
35807503,11,3
35807618,16,2
35807825,10,2
35808210,59,2
35809184,32,2
35809287,14,2
35809305,16,2
35809512,15,2
35809559,31,2
35809676,59,2
35809688,24,2
35809724,31,2
35809883,15,2
35810228,13,2
35810307,33,2
35810344,30,2
35810538,42,2
35810575,18,2
35810617,36,2
35810794,24,3
35811385,53,2
35811476,35,2
35812031,10,2
35812912,10,1
35813936,32,2
35900148,51,2
35900151,109,2
35901830,157,2
35901945,56,1
35902020,28,1
35902032,87,1
35902287,56,2
35902366,22,
35902861,53,2
35902925,79,2
35904673,73,1
35904697,28,1
35904958,116,2
35906426,94,2
35906438,108,2
35906463,87,1
35906542,66,2
35906669,74,1
35907182,74,1
35907194,101,1
35907637,141,2
35908373,95,2
35908551,126,2
35908587,123,1
35908745,103,2
35908757,72,2
35908836,87,1
35908861,138,1
35910193,30,1
35910200,32,1
35910223,86,1
35910259,90,1
35910582,62,1
35910764,63,2
35910818,187,4
35913807,59,1
35913832,177,1
35914794,21,1
35915749,140,1
35915750,37,1
35917011,28,1
35917515,76,2
35918659,80,2
35918805,91,2
35919056,68,2
35921051,33,1
35921105,22,1
35921130,129,1
35921385,69,2
35921543,130,1
35922924,19,1
35923254,170,1
35923333,51,1
35923369,53,2
35923448,154,2
35923461,68,1
35923473,100,2
35923795,17,1
35923886,61,1
35923904,74,2
35923941,58,1
35924039,23,1
35924398,44,1
35925603,81,2
35925639,98,2
35925834,64,1
35925871,134,2
35990012,122,3