"ID";"ANO";"ORGAO_ENTIDADE";"CNPJ_CPF_CONTRATADO";"CONTRATADO";"OBJETO";"DATA_CELEBRACAO";"DATA_INICIO_VIGENCIA";"DATA_FIM_VIGENCIA";"QUANTIDADE";"VALOR_UNITM-ARIO";"VALOR_TOTAL";"PROCESSO_COMPRA";"LOCAL_EXECUCAO";"MODALIDADE";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"1";"2020";"Secretaria Municipal de SaM-zde";"23.359.559/0001-08";"Abasantos Ditribuidora Ltda - Epp";"Respirador purificador de ar tipo peM-gas semifacial filtrante classe PFF2 (N95)";"13/03/2020";"24/03/2016";"13/06/2016";"20.000";"R$ 7,90";"R$ 158.000,00";"04.000.294.20.10";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"2";"2020";"Secretaria Municipal de SaM-zde";"00.874.929/0001-40";"Med Center Comercial";"MascarM-a cirM-zrgica descartM-avel com 3 camadas";"13/03/2020";"24/03/2016";"13/06/2016";"50.000";"R$ 2,40";"R$ 120.000,00";"04.000.294.20.10";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"3";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"21.767.486/0001-68";"R M Lanza dos Santos ComM-ircio - EPP";"AquisiM-gM-co de colheres descartM-aveis";"23/03/2020";"23/03/2020";"23/03/2020";"350.000";"R$ 0,05";"R$ 17.500,00";"01.027.728.20.87";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"4";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"21.767.486/0001-68";"R M Lanza dos Santos ComM-ircio - EPP";"AquisiM-gM-co de marmitas descartM-aveis em alumM-mnio";"23/03/2020";"23/03/2020";"23/03/2020";"350.000";"R$ 0,23";"R$ 80.500,00";"01.027.728.20.87";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"5";"2020";"Secretaria Municipal de SaM-zde";"18.269.125/0001-87";"BioHosp Produtos Hospitalares";"M-Alcool 70% - frascos com 250ml";"24/03/2020";"23/03/2020";"19/09/2020";"140.000";"R$ 2,91";"R$ 407.400,00";"04.000.318.20.87";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"6";"2020";"Secretaria Municipal de SaM-zde";"18.269.125/0001-87";"BioHosp Produtos Hospitalares";"M-Alcool 70% - frascos com 250ml";"24/03/2020";"23/03/2020";"19/09/2020";"140.000";"R$ 2,91";"R$ 407.400,00";"04.000.318.20.87";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"7";"2020";"Secretaria Municipal de SaM-zde";"18.269.125/0001-87";"BioHosp Produtos Hospitalares";"M-Alcool 70% - frascos com 250ml";"24/03/2020";"23/03/2020";"19/09/2020";"70.000";"R$ 2,91";"R$ 203.700,00";"04.000.318.20.87";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"8";"2020";"Secretaria Municipal de SaM-zde";"11.509.243/0001-76";"Comercial Brasil de EPI Ltda";"Protetores Faciais";"25/03/2020";"25/03/2020";"13/04/2020";"5.000";"R$ 15,32";"R$ 76.600,00";"04.000.385.20.74";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"9";"2020";"Secretaria Municipal de SaM-zde";"11.509.243/0001-76";"Comercial Brasil de EPI Ltda";"Respirador purificador de ar tipo peM-gas semifacial filtrante classe PFF2 (N95)";"25/03/2020";"25/03/2020";"15/05/2020";"94.000";"R$ 5,13";"R$ 482.220,00";"04.000.300.20.11";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"10";"2020";"Secretaria Municipal de SaM-zde";"26.164.075/0001-00";"Provider Produtos Hospitalares e Seneantes LTDA";"M-Sculos de ProteM-gM-co";"25/03/2020";"25/03/2020";"08/04/2020";"12.000";"R$ 4,00";"R$ 48.000,00";"04.000.383.20.49";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"11";"2020";"Secretaria Municipal de SaM-zde";"13.251.292/0001-87";"SaM-zde e Tecnologia Ltda";"Luvas  para procedimentos tamanho P - caixa com 100";"26/03/2020";"26/03/2020";"22/09/2020";"6";"R$ 23,90";"R$ 143,40";"04.000.395.20.28";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"12";"2020";"Secretaria Municipal de SaM-zde";"13.251.292/0001-87";"SaM-zde e Tecnologia Ltda";"Luvas  para procedimentos tamanho M - caixa com 100";"26/03/2020";"26/03/2020";"22/09/2020";"1";"R$ 23,90";"R$ 23,90";"04.000.395.20.28";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"13";"2020";"Secretaria Municipal de SaM-zde";"13.251.292/0001-87";"SaM-zde e Tecnologia Ltda";"Luvas  para procedimentos tamanho G - caixa com 100";"26/03/2020";"26/03/2020";"22/09/2020";"14";"R$ 23,90";"R$ 334,60";"04.000.395.20.28";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"14";"2020";"Secretaria Municipal de SaM-zde";"13.251.292/0001-87";"SaM-zde e Tecnologia Ltda";"Gorros descartM-aveis - pct com 50";"26/03/2020";"26/03/2020";"22/09/2020";"5.000";"R$ 11,80";"R$ 59.000,00";"04.000.395.20.28";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"15";"2020";"Secretaria Municipal de SaM-zde";"48.791.685/0001-68";"C.B.S. MM-idico CientM-mfica S/A";"Luvas - caixa com 100";"27/03/2020";"27/03/2020";"23/09/2020";"50.000";"R$ 29,30";"R$ 1.465.000,00";"04.000.397.20.53";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"16";"2020";"Secretaria Municipal de SaM-zde";"33.462.561/0001-61";"HCE Investimentos ImportaM-gM-co e ExportaM-gM-co LTDA";"MM-ascaras";"27/03/2020";"27/03/2020";"23/09/2020";"1.000.000";"R$ 3,00";"R$ 3.000.000,00";"04.000.398.20.16";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"17";"2020";"Secretaria Municipal de SaM-zde";"17.719.905/0001-19";"Saude E-Com Produtos Para SaM-zde Eireli";"Aventais";"27/03/2020";"27/03/2020";"23/09/2020";"20.000";"R$ 9,08";"R$ 181.600,00";"04.000.399.20.89";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"18";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"01.928.075/0001-08";"DMA Distribuidora S/A";"Fornecimento de cestas bM-asicas M-`s famM-mlias de estudantes matriculados na Rede Municipal de Ensino e Rede Parceira";"30/03/2020";"30/03/2020";"29/07/2020";"220.000";"R$ 71,88";"R$ 15.813.600,00";"01.029.049.20.06";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"19";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"04.641.376/0001-36";"Supermercados BH ComM-ircio de Alimentos S/A";"Fornecimento de cestas bM-asicas M-`s famM-mlias de estudantes matriculados na Rede Municipal de Ensino e Rede Parceira";"30/03/2020";"30/03/2020";"29/07/2020";"269.000";"R$ 71,88";"R$ 19.335.720,00";"01.029.049.20.06";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"20";"2020";"Secretaria Municipal de SaM-zde";"20.235.404/0001-71";"DCB M-^V Distribuidora CirM-zrgica Brasileira Ltda";"Luvas tamanho Pequenho";"01/04/2020";"27/03/2020";"23/09/2020";"58.000";"R$ 37,21";"R$ 2.158.180,00";"04.000.402.20.91";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"21";"2020";"Secretaria Municipal de SaM-zde";"20.235.404/0001-71";"DCB M-^V Distribuidora CirM-zrgica Brasileira Ltda";"Luvas tamanho MM-idio";"01/04/2020";"27/03/2020";"23/09/2020";"28.200";"R$ 37,21";"R$ 1.049.322,00";"04.000.402.20.91";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"22";"2020";"Secretaria Municipal de SaM-zde";"20.235.404/0001-71";"DCB M-^V Distribuidora CirM-zrgica Brasileira Ltda";"Luvas tamanho Grande";"01/04/2020";"27/03/2020";"23/09/2020";"13.600";"R$ 37,21";"R$ 506.056,00";"04.000.402.20.91";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"23";"2020";"Secretaria Municipal de SaM-zde";"14.272.952/0001-79";"Vera LM-zcia F dos Santos - EPP";"Aventais";"02/04/2020";"02/04/2020";"29/09/2020";"408.000";"R$ 8,00";"R$ 3.264.000,00";"04.000.409.20.30";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"24";"2020";"Secretaria Municipal de SeguranM-ga e PrevenM-gM-co";"38.510.020/0001-85";"FARMACIA BS EIRELI";"AquisiM-gM-co de 5.000 (cinco mil) litros  (250 bombona de 20 litros cada) de M-alcool etM-mlico 70% a serem usados pelos agentes da Guarda Civil Municipal de BH, o Centro Integrado de OperaM-gM-ues de Belo Horizonte M-^V COP-BH e o Centro Integrado de AtenM-gM-co M-` Mulher M-^V CIAM, M-areas da SMSP ";"03/04/2020";"03/04/2020";"19/05/2020";"250";"R$ 280,00";"R$ 70.000,00";"01.029.571.20.98";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"25";"2020";"Secretaria Municipal de SaM-zde";"23.359.559/0001-08";"Abasantos Ditribuidora Ltda - Epp";"Gorros descartaveis";"06/04/2020";"25/03/2020";"31/03/2020";"10.000";"R$ 0,16";"R$ 1.600,00";"04.000.396.20.90";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"26";"2020";"Secretaria Municipal de SaM-zde";"23.359.559/0001-08";"Abasantos Ditribuidora Ltda - Epp";"Luvas para procedimentos tam. M - caixa com 100";"06/04/2020";"25/03/2020";"31/03/2020";"1.800";"R$ 32,00";"R$ 57.600,00";"04.000.396.20.90";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"27";"2020";"Secretaria Municipal de SaM-zde";"23.359.559/0001-08";"Abasantos Ditribuidora Ltda - Epp";"Luvas para procedimentos tam. G - caixa com 100";"06/04/2020";"25/03/2020";"31/03/2020";"600";"R$ 32,00";"R$ 19.200,00";"04.000.396.20.90";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"28";"2020";"Secretaria Municipal de SeguranM-ga e PrevenM-gM-co";"33.462.561/0001-61";"HCE INVESTIMENTOS IMPORTACAO E EXPORTACAO LTDA";"AquisiM-gM-co de 10.000 (dez mil) unidades de mM-ascaras cirM-zrgicas, 3 camadas, para uso dos agentes da Guarda Civil Municipal de BH de forma preventiva contra o COVID 19, conforme orientado pela OMS.";"06/04/2020";"06/04/2020";"21/04/2020";"10.000";"R$ 3,00";"R$ 30.000,00";"01.029.865.20.29";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"29";"2020";"Hospital Metropolitano Odilon Behrens";"23.359.559/0001-08";"Abasantos Ditribuidora Ltda - Epp";"AquisiM-gM-co de Respiradores categoria PFF2 contra agentes biolM-sgicos";"07/04/2020";"07/04/2020";"07/04/2020";"10.000";"R$ 13,00";"R$ 130.000,00";"01.028.433.20.19";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"30";"2020";"Secretaria de Politica Urbana";"18.266.878/0001-39";"Comercial Nosso Lar Eirelli - EPP";"Luvas descartM-aveis - caixa com 100";"07/04/2020";"07/04/2020";"07/04/2020";"40";"R$ 135,00";"R$ 5.400,00";"01.032.053.20.51";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"31";"2020";"Hospital Metropolitano Odilon Behrens";"18.922.815/0001-93";"Provest - ProteM-gM-co e VestuM-ario Industria e ComM-ircio Ltda";"AquisiM-gM-co de Respiradores categoria PFF2 contra agentes biolM-sgicos";"07/04/2020";"07/04/2020";"07/04/2020";"1.500";"R$ 16,04";"R$ 24.060,00";"01.029.682.20.59";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"32";"2020";"Secretaria de PolM-mtica Urbana";"18.266.878/0001-39";"Comercial Nosso Lar Eirelli - EPP";"M-Alcool em Gel 70 - frasco com 250 ml";"08/04/2020";"08/04/2020";"08/04/2020";"720";"R$ 27,00";"R$ 19.440,00";"01.031.140.20.19";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"33";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"01.928.075/0001-08";"DMA Distribuidora S/A";"Fornecimento de cestas bM-asicas M-`s famM-mlias e indivM-mduos em situaM-gM-co de vulnerabilidade social.";"08/04/2020";"08/04/2020";"07/07/2020";"330.000";"R$ 71,88";"R$ 23.720.400,00";"01.030.616.20.21";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"34";"2020";"Hospital Metropolitano Odilon Behrens";"02.662.841/0001-90";"Mastermed Comercial Ltda - Epp";"AquisiM-gM-co de Respiradores categoria PFF2 contra agentes biolM-sgicos";"08/04/2020";"08/04/2020";"08/04/2020";"250";"R$ 4,50";"R$ 1.125,00";"01.029.107.20.00";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"35";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"04.641.376/0001-36";"Supermercados BH ComM-ircio de Alimentos S/A";"Fornecimento de cestas bM-asicas M-`s famM-mlias e indivM-mduos em situaM-gM-co de vulnerabilidade social.";"08/04/2020";"08/04/2020";"07/07/2020";"330.000";"R$ 71,88";"R$ 23.720.400,00";"01.030.616.20.21";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"36";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"01.928.075/0001-08";"DMA Distribuidora S/A";"Fornecimento kits de higiene e limpeza M-`s famM-mlias em situaM-gM-co de vulnerabilidade social, agravada pela pandemia provocada pelo COVID-19, conforme cadastro consolidado pela Secretaria Municipal de PolM-mtica Urbana.";"09/04/2020";"09/04/2020";"08/06/2020";"114.760";"R$ 29,80";"R$ 3.419.848,00";"01.031.360.20.15";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"37";"2020";"Secretaria Municipal de SeguranM-ga e PrevenM-gM-co";"20.235.404/0001-71";"DCB DISTRIBUIDORA CIRM-ZRGICA BRASILEIRA LTDA.";"AquisiM-gM-co de 10.000 pares de luvas cirM-zrgicas";"13/04/2020";"13/04/2020";"18/04/2020";"10.000";"R$ 1,50";"R$ 15.000,00";"01.030.638.20.64";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"38";"2020";"Hospital Metropolitano Odilon Behrens";"11.071.683/0001-94";"PlM-asticos Independencia ltda";"M-Sculos de proteM-gM-co";"13/04/2020";"13/04/2020";"13/04/2020";"5.120";"R$ 3,03";"R$ 15.513,60";"01.028.790.20.96";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"39";"2020";"Hospital Metropolitano Odilon Behrens";"33.462.561/0001-61";"HCE - Investimentos ImportaM-gM-co e ExportaM-gM-co Ltda";"MM-ascaras CirM-zrgicas com 3 camadas";"14/04/2020";"14/04/2020";"14/04/2020";"600.000";"R$ 3,00";"R$ 1.800.000,00";"01.028.525.20.35";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"40";"2020";"Secretaria Municipal de SaM-zde";"04.654.861/0001-44";"Indalabor IndaiM-a LaboratM-srio Farma FarmacM-jutico";"M-Alcool em gel 70 - refil tipo bag-in-box capacidade 800 ml";"15/04/2020";"01/04/2020";"28/06/2020";"45.000";"R$ 9,70";"R$ 436.500,00";"04.000.411.20.82";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"41";"2020";"Secretaria Municipal de Esportes e Lazer";"05.205.727/0001-29";"Campar Ltda. EPP";"M-Alcool em gel 70 - Bombona com 5 litros";"16/04/2020";"16/04/2020";"16/04/2020";"40";"R$ 90,00";"R$ 3.600,00";"01.030.611.20.08";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"42";"2020";"Secretaria Municipal de Esportes e Lazer";"05.205.727/0001-29";"Campar Ltda. EPP";"Frasco em plM-astico para 500 gramas";"16/04/2020";"16/04/2020";"16/04/2020";"40";"R$ 2,00";"R$ 80,00";"01.030.611.20.08";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"43";"2020";"Secretaria Municipal de SaM-zde";"14.272.952/0001-79";"Vera LM-zcia F dos Santos - EPP";"MM-ascaras Cirurgica DescartM-avel";"16/04/2020";"16/04/2020";"21/04/2020";"10.000";"R$ 3,20";"R$ 32.000,00";"04.000.428.20.85";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"44";"2020";"Secretaria Municipal de Esportes e Lazer";"08.159.985/0001-04";"Copiadora Objetiva Ltda.";"PlastificaM-gM-co de 450 unidades de cartazes a serem fixados nas Academias da Cidade em virtude da Campanha Combate ao COVID-19";"22/04/2020";"22/04/2020";"22/04/2020";"450";"R$ 6,50";"R$ 2.925,00";"01.032.970.20.81";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
